bucket,produto_id,nome,tipo,descontinuado,controla_estoque,categoria_compras,items_nfe_matched,orfaos_token_match,vendas_total,vendas_90d,vendas_30d,qtd_vendida_30d,ultima_venda
NUNCA_VENDIDO,0d0fa1f0-287b-4925-9573-e8e0f57ef718,Seu Fonseca,VENDA_SIMPLES,false,false,,0,0,0,0,0,0,
AUTO_NFE,514cafbe-2b7a-446d-a1a4-a2d8cbc9c288,Agua Com Gas Presh,VENDA_SIMPLES,false,false,,0,10,0,0,0,0,
AUTO_NFE,77dcefc7-6acf-473b-9983-ac007006d6ca,Lillet Blanc 750ml,INSUMO,false,true,,0,14,0,0,0,0,
AUTO_NFE,81d2ca26-4119-4655-a433-3c6de973866b,H20 Limão,VENDA_SIMPLES,false,true,,0,1,0,0,0,0,
DESCONTINUADO,e609cad1-4a96-428c-b677-297bc5bae346,* Excluído * Vieira,INSUMO,true,true,,0,0,0,0,0,0,
NUNCA_VENDIDO,f0172a1e-8269-48a4-9313-f5dae0349e06,Prato Principal - Evento 06/11,VENDA_SIMPLES,false,false,,0,0,0,0,0,0,
AUTO_NFE,4a7cb3aa-f008-48bb-bf65-112ccca0dd3a,Picanha Steak 250g,INSUMO,false,true,,0,4,0,0,0,0,
AUTO_NFE,d391566d-58d4-43a8-b222-ccdf0b052af1,Salmao 200g,INSUMO,false,true,,0,12,0,0,0,0,
DESCONTINUADO,1f492d2e-a26f-4b0e-af85-437e24be210f,* Excluído * Calabresa,INSUMO,true,true,,0,3,0,0,0,0,
DESCONTINUADO,f9386272-edca-4847-9533-254b59aa1a65,* Excluído * Robalo grelhado no azeite com pure de banana da terra - Evento 23/05,VENDA_SIMPLES,true,false,,0,7,0,0,0,0,
AUTO_NFE,f74f1e30-879e-4b7e-a2f2-cb926bb57210,Salmão filetado - RUA ROSARIO DO CATETE,VENDA_SIMPLES,false,true,,0,4,0,0,0,0,
AUTO_NFE,c667847b-3cd9-44ae-819f-e3eec3fce628,Carne de sol de filé - Executivo,VENDA_SIMPLES,false,false,,0,11,0,0,0,0,
AUTO_NFE,a2990652-e295-493b-bb67-693dc9e300d5,UVAS SEM CAROÇO,INSUMO,false,true,,0,4,0,0,0,0,
DESCONTINUADO,de5e2c57-93a1-4312-bf92-11fba8d84684,* Excluído * Prato - 13,VENDA_SIMPLES,true,false,,0,0,0,0,0,0,
AUTO_NFE,d78d0b99-0364-4b1f-a33a-7d0a96e0ef99,Pão italiano (Mini fondue),INSUMO,false,true,,0,3,0,0,0,0,
AUTO_NFE,4624d79b-8a80-430d-ac0f-da30f181c734,Filé em cubos 120g,INSUMO,false,true,,0,9,0,0,0,0,
DESCONTINUADO,513bb1e8-c643-415a-9547-79b8ef7bc0c3,* Excluído * Prato - 11,VENDA_SIMPLES,true,false,,0,0,0,0,0,0,
NUNCA_VENDIDO,3744c0a6-da23-4d04-822c-88d64ef1a393,Oregano,INSUMO,false,true,,0,0,0,0,0,0,
DESCONTINUADO,0d1dfcc0-462e-4172-b918-d166a5cf5797,* Excluído * Carangueijo,INSUMO,true,true,,0,0,0,0,0,0,
NUNCA_VENDIDO,f2dbe045-e2f6-430d-bed9-f3037d2934da,PORCAO DE TORRADAS,VENDA_SIMPLES,false,false,,0,0,0,0,0,0,
DESCONTINUADO,fe95bdb1-41bd-4551-9eaa-928cf2271468,* Excluído * Ovo,INSUMO,true,true,,0,4,0,0,0,0,
AUTO_NFE,ee4fab5d-83c7-4d2e-989e-7423e49d2c61,BARCA DE SALMÃO,VENDA_SIMPLES,false,false,,0,4,0,0,0,0,
AUTO_NFE,ea22f210-4026-4a6a-8b38-c313a0c8cd3f,Vinho Tinto Rizieri Barbera Sbilauta,VENDA_SIMPLES,false,true,,0,5,0,0,0,0,
AUTO_NFE,4fe229c1-f1e4-4818-8932-6dce470f3167,CRUD DE LIMAO,INSUMO,false,true,,0,1,0,0,0,0,
